epoch	eR [deg]	eT [m]	speed (raw) [-]	speed (thr) [-]	keypoint_rmse_px [pix]	keypoint_rmse_px_median [pix]	keypoint_rmse_norm_input [-]	keypoint_rmse_norm_input_median [-]	keypoint_rmse_norm_bbox [-]	keypoint_rmse_norm_bbox_median [-]	pck_0.05_bbox_pct [%]	pck_0.10_bbox_pct [%]	keypoint_inside_pct [%]	valid_kpt_pct [%]	heatmap_peak_mean [-]	heatmap_peak_std [-]	heatmap_entropy [-]	heatmap_entropy_std [-]	heatmap_entropy_beta [-]	heatmap_entropy_beta_std [-]	collapsed_keypoint_distance [pix]	collapsed_keypoint_spread_min_px [pix]	per_keypoint_rmse_px_00 [pix]	per_keypoint_rmse_px_01 [pix]	per_keypoint_rmse_px_02 [pix]	per_keypoint_rmse_px_03 [pix]	per_keypoint_rmse_px_04 [pix]	per_keypoint_rmse_px_05 [pix]	per_keypoint_rmse_px_06 [pix]	per_keypoint_rmse_px_07 [pix]	per_keypoint_rmse_px_08 [pix]	per_keypoint_rmse_px_09 [pix]	per_keypoint_rmse_px_10 [pix]	per_keypoint_pck5_pct_00 [%]	per_keypoint_pck5_pct_01 [%]	per_keypoint_pck5_pct_02 [%]	per_keypoint_pck5_pct_03 [%]	per_keypoint_pck5_pct_04 [%]	per_keypoint_pck5_pct_05 [%]	per_keypoint_pck5_pct_06 [%]	per_keypoint_pck5_pct_07 [%]	per_keypoint_pck5_pct_08 [%]	per_keypoint_pck5_pct_09 [%]	per_keypoint_pck5_pct_10 [%]	per_keypoint_pck10_pct_00 [%]	per_keypoint_pck10_pct_01 [%]	per_keypoint_pck10_pct_02 [%]	per_keypoint_pck10_pct_03 [%]	per_keypoint_pck10_pct_04 [%]	per_keypoint_pck10_pct_05 [%]	per_keypoint_pck10_pct_06 [%]	per_keypoint_pck10_pct_07 [%]	per_keypoint_pck10_pct_08 [%]	per_keypoint_pck10_pct_09 [%]	per_keypoint_pck10_pct_10 [%]	per_keypoint_pck05_bbox_pct_00 [%]	per_keypoint_pck05_bbox_pct_01 [%]	per_keypoint_pck05_bbox_pct_02 [%]	per_keypoint_pck05_bbox_pct_03 [%]	per_keypoint_pck05_bbox_pct_04 [%]	per_keypoint_pck05_bbox_pct_05 [%]	per_keypoint_pck05_bbox_pct_06 [%]	per_keypoint_pck05_bbox_pct_07 [%]	per_keypoint_pck05_bbox_pct_08 [%]	per_keypoint_pck05_bbox_pct_09 [%]	per_keypoint_pck05_bbox_pct_10 [%]	per_keypoint_pck10_bbox_pct_00 [%]	per_keypoint_pck10_bbox_pct_01 [%]	per_keypoint_pck10_bbox_pct_02 [%]	per_keypoint_pck10_bbox_pct_03 [%]	per_keypoint_pck10_bbox_pct_04 [%]	per_keypoint_pck10_bbox_pct_05 [%]	per_keypoint_pck10_bbox_pct_06 [%]	per_keypoint_pck10_bbox_pct_07 [%]	per_keypoint_pck10_bbox_pct_08 [%]	per_keypoint_pck10_bbox_pct_09 [%]	per_keypoint_pck10_bbox_pct_10 [%]	per_keypoint_peak_00 [-]	per_keypoint_peak_01 [-]	per_keypoint_peak_02 [-]	per_keypoint_peak_03 [-]	per_keypoint_peak_04 [-]	per_keypoint_peak_05 [-]	per_keypoint_peak_06 [-]	per_keypoint_peak_07 [-]	per_keypoint_peak_08 [-]	per_keypoint_peak_09 [-]	per_keypoint_peak_10 [-]	per_keypoint_peak2_00 [-]	per_keypoint_peak2_01 [-]	per_keypoint_peak2_02 [-]	per_keypoint_peak2_03 [-]	per_keypoint_peak2_04 [-]	per_keypoint_peak2_05 [-]	per_keypoint_peak2_06 [-]	per_keypoint_peak2_07 [-]	per_keypoint_peak2_08 [-]	per_keypoint_peak2_09 [-]	per_keypoint_peak2_10 [-]	per_keypoint_peak_ratio_00 [-]	per_keypoint_peak_ratio_01 [-]	per_keypoint_peak_ratio_02 [-]	per_keypoint_peak_ratio_03 [-]	per_keypoint_peak_ratio_04 [-]	per_keypoint_peak_ratio_05 [-]	per_keypoint_peak_ratio_06 [-]	per_keypoint_peak_ratio_07 [-]	per_keypoint_peak_ratio_08 [-]	per_keypoint_peak_ratio_09 [-]	per_keypoint_peak_ratio_10 [-]	per_keypoint_top1_to_gt_dist_hm_px_00 [pix]	per_keypoint_top1_to_gt_dist_hm_px_01 [pix]	per_keypoint_top1_to_gt_dist_hm_px_02 [pix]	per_keypoint_top1_to_gt_dist_hm_px_03 [pix]	per_keypoint_top1_to_gt_dist_hm_px_04 [pix]	per_keypoint_top1_to_gt_dist_hm_px_05 [pix]	per_keypoint_top1_to_gt_dist_hm_px_06 [pix]	per_keypoint_top1_to_gt_dist_hm_px_07 [pix]	per_keypoint_top1_to_gt_dist_hm_px_08 [pix]	per_keypoint_top1_to_gt_dist_hm_px_09 [pix]	per_keypoint_top1_to_gt_dist_hm_px_10 [pix]	per_keypoint_top2_to_gt_dist_hm_px_00 [pix]	per_keypoint_top2_to_gt_dist_hm_px_01 [pix]	per_keypoint_top2_to_gt_dist_hm_px_02 [pix]	per_keypoint_top2_to_gt_dist_hm_px_03 [pix]	per_keypoint_top2_to_gt_dist_hm_px_04 [pix]	per_keypoint_top2_to_gt_dist_hm_px_05 [pix]	per_keypoint_top2_to_gt_dist_hm_px_06 [pix]	per_keypoint_top2_to_gt_dist_hm_px_07 [pix]	per_keypoint_top2_to_gt_dist_hm_px_08 [pix]	per_keypoint_top2_to_gt_dist_hm_px_09 [pix]	per_keypoint_top2_to_gt_dist_hm_px_10 [pix]	pnp_fail_cnt [cnt]	pnp_eval_cnt [cnt]	pnp_ok_cnt [cnt]	raw_epnp_ok_cnt [cnt]	pnp_fail_pct [%]	pose_valid_cnt [cnt]	reproj_err_median_px [pix]	reprojection_error_median_px [pix]	eT_median [m]	eR_median [deg]	pnp_ransac_fail_cnt [cnt]	pnp_ransac_eval_cnt [cnt]	pnp_ransac_ok_cnt [cnt]	ransac_ok_cnt [cnt]	pnp_ransac_fail_pct [%]	pnp_ransac_inlier_cnt [cnt]	pnp_ransac_inlier_cnt_median [cnt]	eT_ransac [m]	eT_ransac_median [m]	eR_ransac [deg]	eR_ransac_median [deg]	per_keypoint_ransac_inlier_freq_pct_00 [%]	per_keypoint_ransac_inlier_freq_pct_01 [%]	per_keypoint_ransac_inlier_freq_pct_02 [%]	per_keypoint_ransac_inlier_freq_pct_03 [%]	per_keypoint_ransac_inlier_freq_pct_04 [%]	per_keypoint_ransac_inlier_freq_pct_05 [%]	per_keypoint_ransac_inlier_freq_pct_06 [%]	per_keypoint_ransac_inlier_freq_pct_07 [%]	per_keypoint_ransac_inlier_freq_pct_08 [%]	per_keypoint_ransac_inlier_freq_pct_09 [%]	per_keypoint_ransac_inlier_freq_pct_10 [%]
1	41.790123	11.369777	2.602067	2.602067	55.990110	55.458925	0.251077	0.248695	0.060377	0.055627	54.622595	88.643104	100.000000	97.063684	0.020092	0.012488	0.816304	0.094246	0.027654	0.033225	35.170774	72.962483	39.761524	55.823289	51.751484	39.359141	37.976339	40.990124	45.597542	45.289544	78.760321	69.366542	52.176748	1.565726	0.102828	0.197357	0.990696	1.235709	0.999244	0.345263	0.512003	0.035521	0.017786	0.157839	9.471783	0.634105	0.823752	6.521365	6.977135	5.172559	2.080000	2.736277	0.159844	0.222321	2.148369	67.713352	42.425021	47.932041	69.004135	70.880968	67.218070	59.671579	60.584187	21.046088	28.172521	53.691687	92.876807	89.014567	92.483268	93.392488	95.326160	95.037367	93.237895	93.939903	65.420478	73.979546	84.996492	0.026551	0.015373	0.013090	0.023285	0.020847	0.018955	0.017752	0.018096	0.020903	0.020562	0.026823	0.024449	0.014448	0.012418	0.021853	0.019476	0.017758	0.016488	0.016705	0.019664	0.019335	0.025048	1.069845	1.057932	1.049385	1.057844	1.060761	1.059568	1.063727	1.070606	1.060519	1.061361	1.065862	6.982825	12.566359	11.715147	7.161096	7.085147	8.598188	10.512550	9.848078	18.124936	16.474341	9.618405	7.018186	12.607953	11.745245	7.201770	7.112465	8.667211	10.629141	9.880382	18.363609	16.486614	9.738394	22.000000	11994.000000	11972.000000	11972.000000	0.183425	0.000000	57.654403	57.654403	6.650769	34.575350	10977.000000	11994.000000	1017.000000	1017.000000	91.520760	5.117011	5.000000	12.774348	7.459927	48.374989	38.321755	35.073892	41.996047	60.618146	56.616915	60.176991	48.272458	40.357853	39.186508	39.065606	48.393574	46.713147
2	32.297903	5.507930	1.482322	1.482322	45.817339	44.424332	0.205459	0.199212	0.049267	0.044265	69.053189	92.928855	100.000000	97.063684	0.025599	0.013407	0.744486	0.101010	0.028408	0.033559	45.031584	91.915724	31.227818	42.569028	41.740747	26.759194	26.670184	31.135140	34.561588	35.589610	67.934759	62.020871	34.420691	3.140055	0.556984	0.489102	5.866644	7.355414	3.568730	2.812632	2.249454	0.142083	0.080036	2.578043	16.311081	2.570694	2.093702	25.284287	24.764627	15.685616	11.351579	8.720833	0.612734	0.497999	16.774816	79.077770	64.207369	64.956238	83.838732	83.969401	79.821983	75.267368	74.811147	31.986502	37.012005	75.175377	95.500688	94.301628	95.666724	96.786699	97.654674	97.254178	96.294737	96.667786	74.984460	80.062250	93.502280	0.029134	0.024237	0.019577	0.032063	0.028140	0.025314	0.024903	0.024770	0.022478	0.021144	0.030706	0.027176	0.022770	0.018479	0.030018	0.026359	0.023792	0.023211	0.022943	0.021349	0.020060	0.029011	1.063934	1.059767	1.054801	1.063070	1.060603	1.058067	1.064236	1.069822	1.051246	1.052426	1.056103	4.792076	8.666390	7.983073	4.563947	5.195332	5.831714	6.974302	6.743864	14.523368	13.231278	5.498297	4.897252	8.760529	7.942056	4.630118	5.231982	5.913690	7.024722	6.833390	14.587381	13.366474	5.576026	1.000000	11994.000000	11993.000000	11993.000000	0.008338	0.000000	58.402713	58.402713	3.419119	25.106856	10477.000000	11994.000000	1517.000000	1517.000000	87.352009	5.159525	5.000000	3.761376	2.127179	25.554960	17.338485	42.658730	42.052980	46.910299	64.095745	58.575198	53.830911	40.703851	41.578249	30.246502	38.733333	59.893404
3	25.119036	3.792220	1.071255	1.071255	37.775397	35.758003	0.169396	0.160350	0.040495	0.035411	78.473178	95.284019	100.000000	97.063684	0.028485	0.012905	0.700112	0.092073	0.029021	0.033725	51.213428	102.112406	23.207599	31.739265	31.386259	19.856197	21.968372	23.755465	27.856024	26.893818	57.036628	54.025878	26.912457	12.026841	3.119109	2.428351	16.247416	12.197377	12.133680	7.048421	6.781937	0.399609	0.364606	6.813399	34.712663	12.313625	9.970825	42.866988	33.977808	31.807876	21.667368	22.066476	1.882604	1.947532	30.121010	86.760151	78.791774	79.783765	90.170572	88.895427	87.404484	82.804211	84.849757	45.955066	47.381058	83.435637	97.324501	97.017995	97.820491	97.906616	98.436449	98.093879	97.776842	98.212187	82.275109	85.060027	95.755875	0.031438	0.028420	0.026105	0.034147	0.030134	0.029965	0.027059	0.028977	0.023850	0.022475	0.031524	0.029597	0.026705	0.024507	0.032066	0.028376	0.028180	0.025371	0.027042	0.022635	0.021361	0.029892	1.058596	1.059856	1.059621	1.061784	1.057537	1.058882	1.060418	1.065074	1.051782	1.050303	1.052839	4.167301	5.605104	5.118195	3.443231	4.072579	4.380020	4.801209	5.295092	11.064783	10.209583	4.341494	4.247202	5.672464	5.208171	3.534589	4.119369	4.431319	4.796639	5.337769	11.144453	10.302815	4.446881	3.000000	11994.000000	11991.000000	11991.000000	0.025013	32.000000	52.377778	52.377778	2.274898	17.999464	9042.000000	11994.000000	2952.000000	2952.000000	75.387694	5.364499	5.000000	1.829986	1.085056	14.449547	9.084319	47.533175	42.579986	50.221767	71.365339	57.617917	59.131025	47.993197	44.988107	23.531432	29.900446	64.427012
4	20.049814	2.123593	0.709043	0.709043	30.547386	27.896824	0.136984	0.125098	0.032572	0.026970	86.137144	96.590874	100.000000	97.063684	0.033341	0.013007	0.648616	0.083381	0.027268	0.032784	58.550659	114.042572	18.560914	23.106268	20.855525	14.375397	16.612878	17.076345	19.602528	20.894041	46.794217	44.071617	19.754872	21.128699	14.207369	13.952291	34.260855	26.109617	25.762029	20.286316	14.495551	2.619661	1.618497	27.595580	45.930833	33.453299	34.666209	60.251551	50.386685	49.088924	42.332632	35.235857	10.256638	7.665629	49.886005	90.958362	87.652099	90.200789	94.176430	92.804304	92.711395	90.736842	90.859493	60.696208	63.236994	88.933707	98.356848	97.823479	98.652823	98.733632	98.974445	98.992359	98.517895	98.841699	85.960394	88.732770	97.097510	0.032569	0.034077	0.032999	0.035252	0.033699	0.034544	0.034427	0.031791	0.033031	0.028974	0.036542	0.030706	0.031953	0.031016	0.033122	0.031628	0.032334	0.032101	0.029664	0.031068	0.027410	0.034497	1.057982	1.062593	1.060316	1.061372	1.061564	1.063879	1.067499	1.066668	1.060730	1.055601	1.057410	3.392042	4.456180	3.758063	2.826576	3.138009	3.202419	4.010639	4.129817	9.570971	8.564581	3.420289	3.452221	4.544812	3.797182	2.877860	3.218485	3.259540	4.096169	4.184682	9.621682	8.697158	3.473309	0.000000	11994.000000	11994.000000	11994.000000	0.000000	388.000000	47.032637	47.032637	1.223857	13.735980	7158.000000	11994.000000	4836.000000	4836.000000	59.679840	5.773780	5.000000	0.786200	0.493288	9.029729	5.577048	57.086451	51.008106	59.767006	73.287671	56.699110	61.436556	52.644680	45.047659	26.403195	29.729730	67.138692
5	15.083117	1.810019	0.569836	0.569836	25.076842	21.283486	0.112452	0.095442	0.026581	0.021003	89.989334	97.759624	100.000000	97.063684	0.033546	0.011850	0.631850	0.074471	0.027701	0.032985	60.673909	118.555350	16.210963	17.937134	16.962702	12.833115	14.385087	14.243162	16.123307	18.027001	36.250929	35.299412	15.835431	31.426359	21.919452	20.636691	38.249483	31.203766	31.833067	28.353684	21.109619	3.969452	5.220098	34.636969	53.552994	46.572408	45.958469	64.541695	56.741762	57.922580	51.494737	44.099379	15.487079	17.198755	59.198527	92.360633	92.116538	93.152566	95.218815	94.695696	94.953397	93.490526	92.588551	72.879851	73.036905	92.309716	98.391259	98.508997	99.056118	98.811165	99.218225	99.193887	99.056842	99.043143	92.034455	92.805691	98.105928	0.034753	0.035869	0.033229	0.035576	0.032202	0.034691	0.032909	0.032338	0.031093	0.031405	0.036187	0.032748	0.033658	0.031273	0.033437	0.030367	0.032513	0.030792	0.030255	0.029286	0.029711	0.034145	1.058758	1.062699	1.060133	1.061611	1.057584	1.063462	1.065387	1.064322	1.059677	1.055764	1.058154	2.979038	3.108815	2.935896	2.499053	2.724664	2.727374	3.428538	3.349226	5.800898	6.244192	2.835878	3.043557	3.165917	3.027184	2.557813	2.773413	2.787920	3.478330	3.406909	5.857667	6.305575	2.937538	3.000000	11994.000000	11991.000000	11991.000000	0.025013	885.000000	40.124684	40.124684	0.982947	9.265617	5932.000000	11994.000000	6062.000000	6062.000000	49.458062	5.987298	6.000000	0.654536	0.400392	7.233994	4.629506	56.832143	56.152570	62.962349	74.316940	55.498679	60.898283	54.340996	48.529412	29.235936	34.171697	68.987868
6	4.965400	0.445133	0.165079	0.165071	9.316238	6.464282	0.041777	0.028988	0.009619	0.006814	98.732237	99.774684	100.000000	97.063684	0.038846	0.009637	0.571005	0.049659	0.028704	0.033154	70.055520	134.334530	7.020866	6.376223	6.304829	5.704376	6.044190	6.107526	6.668338	7.567324	9.804060	10.195748	6.314441	61.192361	62.082262	62.184658	67.410407	64.021520	62.599715	59.840000	54.037267	44.578634	43.139173	67.046650	81.589814	85.047129	85.858933	88.240868	85.305985	86.296079	83.806316	79.612221	72.391439	71.649622	84.444055	98.503097	99.220223	99.124764	99.172984	99.335911	99.445797	99.048421	98.866879	97.406980	96.967541	98.754823	99.690296	99.880034	99.836966	99.844935	99.865501	99.983206	99.915789	99.865704	99.511589	99.208537	99.815854	0.039581	0.038445	0.039081	0.039709	0.038096	0.037357	0.039257	0.038826	0.040275	0.039768	0.038354	0.037425	0.036360	0.036983	0.037508	0.036062	0.035272	0.036947	0.036601	0.038082	0.037645	0.036429	1.055771	1.055509	1.054862	1.056916	1.054543	1.057107	1.060108	1.057899	1.056475	1.055446	1.051891	1.480399	1.408496	1.372809	1.299468	1.435286	1.423365	1.549914	1.642100	1.557118	1.551523	1.277522	1.606150	1.511775	1.466674	1.423132	1.540122	1.505510	1.622164	1.731360	1.652038	1.674168	1.415179	0.000000	11994.000000	11994.000000	11994.000000	0.000000	5695.000000	17.326560	17.326560	0.251895	2.957495	1972.000000	11994.000000	10022.000000	10022.000000	16.441554	7.384554	7.000000	0.235011	0.165405	3.315743	2.501311	66.986371	73.386366	74.826231	76.614610	65.255679	67.182817	68.596034	58.178364	59.597412	62.663105	73.618883
7	3.311742	0.204861	0.095345	0.095299	6.003128	4.266211	0.026920	0.019131	0.006127	0.004491	99.576632	99.924950	100.000000	97.063684	0.038468	0.007652	0.556283	0.035860	0.030543	0.033636	72.401842	137.839180	4.700625	4.003976	4.086515	3.805858	4.208697	4.590780	4.708664	5.382274	5.292496	5.817525	3.902394	74.217137	79.708655	77.801613	81.262922	76.790518	74.095222	72.193684	67.164680	71.734304	66.136060	81.243423	90.562629	94.010283	93.941994	95.098208	93.207801	92.341926	91.637895	89.289911	88.828701	87.034237	93.598737	99.475224	99.742931	99.725416	99.689869	99.781439	99.798472	99.705263	99.639080	99.227422	98.995109	99.552788	99.888162	99.948586	99.922773	99.948312	99.957969	99.974809	100.000000	99.949639	99.777995	99.813250	99.964925	0.038356	0.038058	0.038795	0.039900	0.037300	0.038508	0.038878	0.036585	0.040796	0.038255	0.038994	0.036456	0.036210	0.036817	0.037832	0.035500	0.036497	0.036832	0.034738	0.038739	0.036386	0.037157	1.050679	1.049857	1.052419	1.053385	1.049533	1.053703	1.053997	1.051326	1.052381	1.050668	1.048852	1.233250	1.154661	1.069758	1.046814	1.167588	1.199610	1.200772	1.320852	1.210096	1.116000	1.032657	1.353374	1.264985	1.199673	1.187005	1.292108	1.309237	1.316802	1.422542	1.311415	1.240225	1.168193	0.000000	11994.000000	11994.000000	11994.000000	0.000000	7789.000000	12.282533	12.282533	0.117026	2.104665	1166.000000	11994.000000	10828.000000	10828.000000	9.721527	7.968231	8.000000	0.128389	0.088844	2.591023	1.965575	73.705441	78.645590	79.333583	80.453523	69.212234	70.842593	74.890972	61.657407	70.611345	71.857609	78.213032
8	2.506854	0.133630	0.068429	0.068336	4.621235	3.409894	0.020723	0.015291	0.004702	0.003606	99.797761	99.960418	100.000000	97.063684	0.038207	0.006610	0.548487	0.028194	0.031872	0.034163	73.233158	139.959910	3.833307	3.470084	3.306089	3.357547	3.478548	3.530282	3.472259	3.952386	4.074440	3.591632	3.341578	80.221955	83.744644	84.365883	84.467609	82.876597	82.634982	82.012632	78.126574	78.643105	82.294353	83.970537	93.659670	95.886889	96.722155	96.114748	95.544721	95.927450	95.738947	94.166527	93.206642	94.619831	94.826377	99.690296	99.862896	99.897031	99.819090	99.848689	99.899236	99.890526	99.840524	99.573750	99.697643	99.763241	99.939780	99.965724	99.939935	99.982771	99.974781	99.974809	99.991579	99.983213	99.893438	99.928857	99.973693	0.038301	0.038226	0.037999	0.038542	0.037249	0.037534	0.038819	0.037906	0.038570	0.039717	0.038537	0.036493	0.036408	0.036227	0.036687	0.035503	0.035733	0.036869	0.036044	0.036863	0.037871	0.036828	1.048589	1.048994	1.048041	1.049721	1.048255	1.049306	1.051609	1.050305	1.045881	1.048267	1.046180	1.072469	0.978849	0.940800	0.928077	1.061944	1.035370	1.075270	1.118204	0.984908	0.974138	0.902477	1.208992	1.107915	1.077254	1.079193	1.178273	1.171191	1.207302	1.245824	1.096696	1.112573	1.035758	0.000000	11994.000000	11994.000000	11994.000000	0.000000	8844.000000	9.827867	9.827867	0.074131	1.686235	867.000000	11994.000000	11127.000000	11127.000000	7.228614	8.405051	9.000000	0.093734	0.062866	2.114181	1.619694	77.841792	82.358834	83.010596	82.982809	70.617952	75.373807	78.568200	68.713371	75.655501	80.543835	79.692279
9	2.240936	0.092284	0.056026	0.055864	3.983459	3.014443	0.017863	0.013518	0.004055	0.003147	99.851101	99.968755	100.000000	97.063684	0.037632	0.005801	0.545638	0.023716	0.033078	0.034466	73.985637	140.654289	3.465306	2.887324	2.742385	2.948492	3.151764	3.125865	3.214808	3.515126	2.969158	3.135096	2.752158	82.897454	88.371894	89.591557	88.008270	85.532952	85.909816	84.421053	81.467181	86.626410	85.558026	87.820063	95.320028	97.497858	97.846233	97.458649	96.713181	97.027458	96.816842	95.668961	96.439037	95.526901	96.597685	99.819339	99.931448	99.905612	99.879394	99.932751	99.916030	99.915789	99.882491	99.733594	99.617608	99.842161	99.931177	99.982862	99.965677	99.974156	99.983188	99.974809	100.000000	100.000000	99.946719	99.919964	99.964925	0.036181	0.037101	0.037790	0.037846	0.037249	0.038473	0.037712	0.038266	0.037909	0.038022	0.038277	0.034623	0.035446	0.036070	0.036119	0.035582	0.036629	0.035927	0.036437	0.036282	0.036367	0.036664	1.044326	1.046061	1.046950	1.047192	1.046131	1.049466	1.048636	1.049154	1.044469	1.045110	1.043575	1.019075	0.909172	0.876396	0.904931	0.964468	0.968835	0.990871	1.029546	0.922566	0.901795	0.871633	1.149960	1.055496	1.030025	1.053621	1.104175	1.110745	1.118863	1.166523	1.036282	1.009378	1.001147	0.000000	11994.000000	11994.000000	11994.000000	0.000000	9373.000000	8.604813	8.604813	0.047261	1.541042	710.000000	11994.000000	11284.000000	11284.000000	5.919626	8.667405	9.000000	0.064625	0.041638	1.942425	1.500229	80.144665	85.101600	85.664084	83.628639	73.597507	78.780336	80.686580	71.589899	80.681503	81.495552	82.061383
10	2.094804	0.092313	0.053440	0.053299	3.759789	2.934321	0.016860	0.013158	0.003859	0.003049	99.900117	99.974703	100.000000	97.063684	0.038330	0.005560	0.540664	0.021650	0.032733	0.034300	73.813624	140.870056	3.045438	2.773513	2.612983	2.693105	2.953538	3.011823	3.161345	3.586877	2.826445	2.959398	2.500977	85.073985	88.757498	90.475373	89.481392	86.474445	86.304476	84.993684	81.206983	87.159222	87.203201	89.565065	96.214728	97.883462	98.103655	97.984149	97.343645	97.455706	97.061053	96.138996	97.078412	95.927079	97.325500	99.922574	99.965724	99.914193	99.939697	99.983188	99.966412	99.907368	99.924459	99.849036	99.644286	99.903543	99.974191	100.000000	99.974258	99.991385	99.991594	100.000000	99.991579	99.991607	99.946719	99.866607	99.982462	0.039681	0.039450	0.038196	0.039421	0.039030	0.036565	0.037534	0.036548	0.038963	0.038528	0.038656	0.037848	0.037601	0.036455	0.037587	0.037256	0.034956	0.035806	0.034879	0.037297	0.036861	0.037043	1.047859	1.048534	1.047252	1.048346	1.047008	1.045376	1.047435	1.047031	1.044376	1.045041	1.043363	0.916935	0.850229	0.841121	0.828711	0.914553	0.928944	0.929836	0.987259	0.875369	0.883985	0.821715	1.067910	1.010542	1.004621	0.998669	1.048719	1.068019	1.085158	1.131722	0.995471	1.013087	0.955783	1.000000	11994.000000	11993.000000	11993.000000	0.008338	9546.000000	8.114037	8.114037	0.055349	1.522015	620.000000	11994.000000	11374.000000	11374.000000	5.169251	8.741252	9.000000	0.067882	0.045669	1.845900	1.442497	80.661098	86.614244	86.464954	84.777728	75.702173	78.211009	81.810139	70.043237	82.490594	82.807179	82.306362
